df,section_name,cb_col_name,col_name
v1,Admin,TODAY_V1,today
v1,Admin,II_V1,ii
v1,Admin,VISIT_V1,visit
v1,Admin,TEST_V1,test
v1,Admin,GENDER,gender
v1,Admin,SQ_2,sq_hispanic
v1,Admin,SQ_3,sq_race
v1,Admin,SQ_4,sq_age
v1,Exclusion Criteria,SQ_5,sq_5
v1,Exclusion Criteria,SQ_6,sq_6
v1,Exclusion Criteria,SQ_7,sq_7
v1,Exclusion Criteria,SQ_7A,sq_7a
v1,Exclusion Criteria,SQ_7B,sq_7b
v1,Exclusion Criteria,SQ_7C,sq_7c
v1,Exclusion Criteria,SQ_7D,sq_7d
v1,Exclusion Criteria,SQ_8,sq_8
v1,Exclusion Criteria,SQ_9,sq_9
v1,Exclusion Criteria,SQ_9L,sq_9l
v1,Exclusion Criteria,SQ_10,sq_10
v1,Exclusion Criteria,SQ_11,sq_11
v1,Screening Questions,SQ_12,sq_12
v1,Screening Questions,SQ_13,sq_13
v1,Screening Questions,SQ_14,sq_14
v1,Screening Questions,SQ_15,sq_15
v1,Screening Questions,SQ_16,sq_16
v1,Screening Questions,SQ_17,sq_17
v1,Screening Questions,SQ_18,sq_18
v1,Screening Questions,SQ_18A,sq_18a
v1,Screening Questions,SQ_18B,sq_18b
v1,Screening Questions,SQ_18C,sq_18c
v1,Screening Questions,SQ_18D,sq_18d
v1,Screening Questions,SQ_18E,sq_18e
v1,Screening Questions,SQ_18F,sq_18f
v1,Screening Questions,SQ_18G,sq_18g
v1,Screening Questions,SQ_18H,sq_18h
v1,Screening Questions,SQ_18I,sq_18i
v1,Screening Questions,SQ_19,sq_19
v1,Screening Questions,SQ_20,sq_20
v1,Screening Questions,SQ_21,sq_21
v1,Screening Questions,SQ_22,sq_22
v1,Screening Questions,SQ_22A,sq_22a
v1,Screening Questions,SQ_22B,sq_22b
v1,Screening Questions,SQ_22C,sq_22c
v1,Screening Questions,SQ_22D,sq_22d
v1,Screening Questions,SQ_22E,sq_22e
v1,Screening Questions,SQ_22F,sq_22f
v1,Screening Questions,SQ_22G,sq_22g
v1,Screening Questions,SQ_22H,sq_22h
v1,Mini Mental Status Exam Score,MMS_1A,mms_1a
v1,Mini Mental Status Exam Score,MMS_1B,mms_1b
v1,Mini Mental Status Exam Score,MMS_1C,mms_1c
v1,Mini Mental Status Exam Score,MMS_1D,mms_1d
v1,Mini Mental Status Exam Score,MMS_1E,mms_1e
v1,Mini Mental Status Exam Score,MMS_1,mms_1
v1,Mini Mental Status Exam Score,MMS_2A,mms_2a
v1,Mini Mental Status Exam Score,MMS_2B,mms_2b
v1,Mini Mental Status Exam Score,MMS_2C,mms_2c
v1,Mini Mental Status Exam Score,MMS_2D,mms_2d
v1,Mini Mental Status Exam Score,MMS_2E,mms_2e
v1,Mini Mental Status Exam Score,MMS_2,mms_2
v1,Mini Mental Status Exam Score,MMS_3,mms_3
v1,Mini Mental Status Exam Score,MMS_3G,mms_3g
v1,Mini Mental Status Exam Score,MMS_3H,mms_3h
v1,Mini Mental Status Exam Score,MMS_3I,mms_3i
v1,Mini Mental Status Exam Score,MMS_3J,mms_3j
v1,Mini Mental Status Exam Score,RECAL1,mms_recall_1
v1,Mini Mental Status Exam Score,MMS_4,mms_4
v1,Mini Mental Status Exam Score,MMS_4A,mms_4a
v1,Mini Mental Status Exam Score,MMS_4B,mms_4b
v1,Mini Mental Status Exam Score,MMS_4C,mms_4c
v1,Mini Mental Status Exam Score,MMS_4D,mms_4d
v1,Mini Mental Status Exam Score,MMS_4E,mms_4e
v1,Mini Mental Status Exam Score,MMS_4F,mms_4f
v1,Mini Mental Status Exam Score,COUNT,mms_count
v1,Mini Mental Status Exam Score,MMS4V,mms_5
v1,Mini Mental Status Exam Score,MMS4VA,mms_5a
v1,Mini Mental Status Exam Score,MMS4VB,mms_5b
v1,Mini Mental Status Exam Score,MMS4VC,mms_5c
v1,Mini Mental Status Exam Score,MMS4VD,mms_5d
v1,Mini Mental Status Exam Score,MMS4VE,mms_5e
v1,Mini Mental Status Exam Score,MMS4VF,mms_5f
v1,Mini Mental Status Exam Score,NUM,mms_num
v1,Mini Mental Status Exam Score,MMS_5,mms_6
